,x,y
0,0.0,0.02038712220819394
1,0.25,0.8312052489536409
2,0.5,0.5637456070617338
3,0.75,1.1739167365058867
4,1.0,1.5236382674665174
5,1.25,0.6559616477320667
6,1.5,1.652030787465984
7,1.75,1.3423658755431933
8,2.0,2.0293348585388946
9,2.25,1.813258305377326
10,2.5,2.104992207476965
11,2.75,2.6994937296864396
12,3.0,2.1782591211087237
13,3.25,2.514411267225756
14,3.5,2.8043210170008925
15,3.75,2.6116091157346797
16,4.0,2.7118874593065483
17,4.25,3.029716685717393
18,4.5,2.542340308773517
19,4.75,3.511768961491031
20,5.0,2.9890377327382915
21,5.25,3.0525114860096627
22,5.5,3.314110991319323
23,5.75,3.2909857200745916
24,6.0,2.9909938138309227
25,6.25,3.4267647283341582
26,6.5,3.351383536492065
27,6.75,4.182536036138592
28,7.0,3.0753136560830625
29,7.25,3.752325588747542
30,7.5,3.995273559272913
31,7.75,3.195261159187465
32,8.0,3.2803656901141283
33,8.25,3.80191120640665
34,8.5,3.5953931378975517
35,8.75,3.1158921306558804
36,9.0,3.720585943395063
37,9.25,4.024473764303521
38,9.5,3.5608180224360027
39,9.75,3.912689114813471
40,10.0,3.9775050295474954
