,x,y
0,0.0,0.5738272257993274
1,0.25,-0.13525060100064898
2,0.5,0.20927630917288195
3,0.75,-0.18514494454343233
4,1.0,0.39282155681508596
5,1.25,0.03413957433608582
6,1.5,-0.23317786312566496
7,1.75,0.21171865429853717
8,2.0,0.3036201227525729
9,2.25,0.6275496216090488
10,2.5,0.7873324217467339
11,2.75,0.8517739299777676
12,3.0,0.8677706821852533
13,3.25,1.7536239681905148
14,3.5,1.4284978480499866
15,3.75,1.825056830974063
16,4.0,2.874359382425258
17,4.25,2.5967707793203507
18,4.5,2.4503432911972944
19,4.75,2.831120149049997
20,5.0,3.1507401254324763
21,5.25,3.186273222322761
22,5.5,3.1865834983674706
23,5.75,3.4298092035735417
24,6.0,2.920109242946322
25,6.25,3.8061398513794567
26,6.5,3.934835581723624
27,6.75,3.410803058969423
28,7.0,3.576457009013547
29,7.25,3.6295725240299084
30,7.5,3.854838985760083
31,7.75,4.127229705839058
32,8.0,3.712885909051385
33,8.25,3.775020552666743
34,8.5,4.067490294050869
35,8.75,4.387676290189921
36,9.0,3.7889681080803674
37,9.25,3.8119888357494642
38,9.5,3.8367053042234014
39,9.75,3.7688497627088324
40,10.0,3.4572672046623336
