,obs,obs_err,t
0,0.054124950421037925,0.054124950421037925,0.0
1,0.041071815991459204,0.019515121195064992,0.25
2,0.03093590720418246,0.08656719021122208,0.5
3,0.13836563797381207,0.032605243845787564,0.75
4,0.2127163535469526,0.008482863381642525,1.0
5,0.20246670974563163,0.06591766130772658,1.25
6,0.32130230826472594,0.008591587055698168,1.5
7,0.2992816731339179,0.055069800438190056,1.75
8,0.426176768860107,0.03270742857274044,2.0
9,0.45224829004082384,0.02203111477174684,2.25
10,0.5010549429296972,0.036316371448687504,2.5
11,0.5240593909850556,0.026890968955996533,2.75
12,0.5424996108606043,0.014866163601618963,3.0
13,0.5268092779696333,0.02944341194928691,3.25
14,0.5138444513730894,0.06929352894840213,3.5
15,0.6424035977453121,0.03400922442211106,3.75
16,0.6647610444832727,0.03264048565471497,4.0
17,0.6376002558298048,0.01680899159322053,4.25
18,0.661888593069782,0.013458939571868285,4.5
19,0.6884690166886843,0.006548214600256366,4.75
20,0.7220808301976732,0.008585627057863345,5.0
21,0.7633539796635406,0.03250032839272445,5.25
22,0.6685418224232329,0.07861858177202069,5.5
23,0.6983844965067045,0.0640946843978374,5.75
24,0.7604629547299981,0.01640688512157212,6.0
25,0.7513769673444989,0.03901164550440325,6.25
26,0.855417915934069,0.052329591138263125,6.5
27,0.7938696747631915,0.021148925329504284,6.75
28,0.7501213670913187,0.07610468945823617,7.0
29,0.7901410362028477,0.046613451343193814,7.25
30,0.9190931297664877,0.0724480966114161,7.5
31,0.8170526041351707,0.03888373676337603,7.75
32,0.8910357393468795,0.026371022583492207,8.0
33,0.8671895961644869,0.005674670903477528,8.25
34,0.8653291245804805,0.01523790715279984,8.5
35,0.7753873442404147,0.11241576523924157,8.75
36,0.8299934298576606,0.06460734558047504,9.0
37,0.875299286437634,0.025687305198539696,9.25
38,0.9337414382642909,0.026755927474954408,9.5
39,1.016477668135145,0.10385669433056532,9.75
