,obs,obs_err,t
0,0.05265441027706769,0.05265441027706769,0.0
1,0.058634786569618666,0.0019521506169055268,0.25
2,0.061830036325659615,0.05567306108974493,0.5
3,0.13196222662498758,0.03900865519461205,0.75
4,0.21855744988493866,0.0026417670436564566,1.0
5,0.2984185319207568,0.030034160867398553,1.25
6,0.3496207544321549,0.03691003322312711,1.5
7,0.38838171926305715,0.03403024569094922,1.75
8,0.44339054274535655,0.04992120245798998,2.0
9,0.46352217352088015,0.03330499825180318,2.25
10,0.33911077133522494,0.12562780014578476,2.5
11,0.4941296513279095,0.0030387707011496094,2.75
12,0.5249435634780778,0.0026898837809075115,3.0
13,0.5886273736948862,0.032374683775965966,3.25
14,0.49269718749086466,0.09044079283062692,3.5
15,0.5875213155819912,0.020873057741209868,3.75
16,0.6501748091115309,0.01805425028297329,4.0
17,0.6685398118702707,0.014130564447245248,4.25
18,0.60032196334438,0.07502556929727022,4.5
19,0.7565917887969457,0.061574557508004994,4.75
20,0.7154715904861713,0.0019763873463614578,5.0
21,0.8498939479570669,0.11904029668625077,5.25
22,0.7127107332344668,0.03444967096078672,5.5
23,0.7683643803716825,0.005885199467140628,5.75
24,0.7372680355494645,0.039601804302105637,6.0
25,0.7429333033791771,0.04745530946972512,6.25
26,0.8425926241201498,0.03950429932434381,6.5
27,0.8215873476595774,0.006568747566881685,6.75
28,0.7871718718973322,0.03905418465222265,7.0
29,0.6729370232179733,0.16381746432806824,7.25
30,0.8846769397164741,0.03803190656140251,7.5
31,0.8709881834123556,0.015051842513808901,7.75
32,0.8603171720992877,0.004347544664099584,8.0
33,0.9142616602660352,0.041397393198070745,8.25
34,0.9300490749320376,0.04948204319875729,8.5
35,0.9829279608792032,0.09512485139954693,8.75
36,0.9318571601586461,0.03725638472051039,9.0
37,0.9452038457567061,0.04421725412053249,9.25
38,0.977648451904573,0.07066294111523644,9.5
39,0.905520297172902,0.0071006766316777,9.75
