,obs,t
0,-0.005810562621745221,0.0
1,0.07807226292776946,0.25
2,0.01632209662897101,0.5
3,0.2006090580571696,0.75
4,0.2935092802959598,1.0
5,0.3764321012786885,1.25
6,0.34954738459508566,1.5
7,0.2739249309673849,1.75
8,0.37625043506860256,2.0
9,0.5066363844748742,2.25
10,0.38324202875632585,2.5
11,0.5128672285459147,2.75
12,0.4410729577277168,3.0
13,0.5687077563691456,3.25
14,0.5350932709877001,3.5
15,0.5742508233469192,3.75
16,0.6722460768444316,4.0
17,0.6764490141217233,4.25
18,0.7885711285330769,4.5
19,0.7207031652656112,4.75
20,0.728799005965741,5.0
21,0.7237134199327403,5.25
22,0.7545604248269946,5.5
23,0.761654576076702,5.75
24,0.7077608159318588,6.0
25,0.7222151140336909,6.25
26,0.7514143141126359,6.5
27,0.8102237688068648,6.75
28,0.7734604662268512,7.0
29,0.8272185876500073,7.25
30,0.8421653993678565,7.5
31,0.926681716127351,7.75
32,0.8639298679347618,8.0
33,0.8553894320784001,8.25
34,0.9459546113537523,8.5
35,0.8907868646267774,8.75
36,0.8487172130815381,9.0
37,0.8962020541784643,9.25
38,0.9591204529260378,9.5
39,0.9754252327595873,9.75
