,obs,obs_err,t
0,0.03534060675784336,0.03534060675784336,0.0
1,0.020910523733511377,0.039676413453012815,0.25
2,0.11550582654566055,0.0019972708697440014,0.5
3,0.1820775707501171,0.01110668893051747,0.75
4,0.22054392844270573,0.0006552884858893955,1.0
5,0.2795349903628889,0.011150619309530733,1.25
6,0.3792641162028352,0.06655339499380739,1.5
7,0.3322778968863406,0.02207357668576738,1.75
8,0.3677889919107394,0.02568034837662718,2.0
9,0.42813011664687944,0.002087058622197558,2.25
10,0.4927588835511038,0.028020312070094068,2.5
11,0.5061589483430983,0.008990526314039137,2.75
12,0.40422441856862834,0.12340902869035697,3.0
13,0.5499318936734482,0.006320796245472016,3.25
14,0.5874578674528567,0.004319887131365121,3.5
15,0.6334814364568374,0.02508706313363638,3.75
16,0.6112334863942586,0.020887072434299065,4.0
17,0.6712588994682135,0.016849652045188023,4.25
18,0.5870915118553645,0.0882560207862858,4.5
19,0.6422250982075142,0.052792133081426544,4.75
20,0.6900448585644761,0.023450344575333834,5.0
21,0.7175567105501728,0.01329694072064331,5.25
22,0.7346071356926055,0.012553268502647994,5.5
23,0.7606210389156424,0.0018581419888995432,5.75
24,0.8527971301024396,0.07592729025086946,6.0
25,0.7425790523278041,0.047809560521098124,6.25
26,0.8297415081023443,0.02665318330653828,6.5
27,0.7641192875027484,0.05089931258994737,6.75
28,0.815814484401699,0.010411572147855833,7.0
29,0.8092813175481384,0.027473169997903193,7.25
30,0.8351552163043607,0.011489816850710863,7.5
31,0.9221927000586917,0.06625635916014493,7.75
32,0.9233366527499477,0.058671935986560446,8.0
33,0.7863162581600235,0.0865480089079409,8.25
34,0.8483342390194409,0.032232792713839394,8.5
35,0.9783490926078833,0.09054598312822704,8.75
36,0.9080100095447717,0.01340923410663613,9.0
37,0.9947112368948889,0.09372464525871523,9.25
38,0.798506769151692,0.10847874163764448,9.5
39,1.0139145910898586,0.10129361728527891,9.75
